Deudor;Población;Frecuencia de visita;Desde centro;Oficina de ventas;Denominación Gr#Clientes 5;Denominación Gr#Clientes 4
3004306;BOGOTÁ D.C.;5;6038;Bogota;CAD. REGIONALES;ORO
3004328;BOGOTÁ D.C.;2;6038;Bogota;MODERNO;ORO
3004339;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004349;PITALITO;5;6038;Bogota;MAYORISTAS;SEGMENTO 1
3004359;LA VEGA;5;6038;Bogota;PET SHOPS;CLASSIC
3004362;BOGOTÁ D.C.;5;6038;Bogota;MAYORISTAS;PLATA
3004399;LÍBANO;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004437;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3004439;BOGOTÁ D.C.;2;6038;Bogota;TRANSFORMADORES;PLATA
3004448;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3004498;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3004500;TUNJA;2;6038;Bogota;CAD. REGIONALES;ORO
3004516;BOGOTÁ D.C.;2;6038;Bogota;MAYORISTAS;ORO
3004557;FUNZA;5;6038;Bogota;MODERNO;ORO
3004561;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004582;CAMPOALEGRE;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004591;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3004606;VILLA DE SAN DIEGO DE UBA;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004614;IBAGUÉ;5;6038;Bogota;MAYORISTAS;PLATA
3004641;FUNZA;5;6038;Bogota;MODERNO;ORO
3004645;SAN FRANCISCO;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004649;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004652;LENGUAZAQUE;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004655;FUNZA;5;6038;Bogota;MODERNO;ORO
3004657;BOGOTÁ D.C.;5;6038;Bogota;MODERNO;ORO
3004660;IBAGUÉ;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004672;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3004703;PACHO;5;6038;Bogota;MAYORISTAS;BRONCE
3004707;GIRARDOT;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004711;GIRARDOT;5;6038;Bogota;SUP. INDEPENDIENTE;SEGMENTO 1
3004713;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SEGMENTO 1
3004726;TOCAIMA;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004730;BOGOTÁ D.C.;2;6038;Bogota;MODERNO;ORO
3004733;VILLAVICENCIO;2;6038;Bogota;DI MULTIEMPRESA;ORO
3004735;MADRID;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3004738;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004743;FRESNO;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004759;FRESNO;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004765;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3004767;PUERTO BOYACÁ;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004777;BOGOTÁ D.C.;5;6038;Bogota;MAYORISTAS;BRONCE
3004779;ORTEGA;5;6038;Bogota;MAYORISTAS;SEGMENTO 1
3004801;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3004814;TAUSA;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004823;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3004841;FLORENCIA;3;6038;Bogota;MAYORISTAS;SEGMENTO 1
3004854;YOPAL;2;6038;Bogota;DI MULTIEMPRESA;ORO
3004865;TUNJA;5;6038;Bogota;CAD. REGIONALES;ORO
3004868;GUAMAL;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004875;PITALITO;5;6038;Bogota;MAYORISTAS;PLATA
3004883;VENTAQUEMADA;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004897;LA DORADA;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004905;CAJAMARCA;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004932;TUNJA;5;6038;Bogota;MAYORISTAS;ORO
3004948;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004949;BOGOTÁ D.C.;5;6038;Bogota;CAD. REGIONALES;ORO
3004951;PITALITO;2;6038;Bogota;DI MULTIEMPRESA;ORO
3004963;SAN SEBASTIÁN DE MARIQUIT;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3005071;CALI;5;6031;Cali;CAD. REGIONALES;ORO
3005074;CALI;2;6031;Cali;MAYORISTAS;ORO
3005076;CALI;2;6031;Cali;CAD. REGIONALES;ORO
3005086;CALI;2;6031;Cali;MODERNO;ORO
3005088;CALI;2;6031;Cali;CAD. REGIONALES;ORO
3005104;PRADERA;5;6031;Cali;SUP. INDEPENDIENTE;SI GOLD
3005106;CALI;5;6038;Cali;MODERNO;ORO
3005120;CALI;2;6031;Cali;MAYORISTAS;PLATA
3005126;BUENAVENTURA;5;6031;Cali;MAYORISTAS;SEGMENTO 1
3005287;PASTO;2;6030;Cali;DI MULTIEMPRESA;ORO
3005298;PEREIRA;2;6037;Cali;SUP. INDEPENDIENTE;SI GOLD
3005310;DOSQUEBRADAS;2;6037;Cali;SUP. INDEPENDIENTE;SI GOLD
3005312;CALI;2;6031;Cali;MODERNO;ORO
3005317;PASTO;5;6031;Cali;MODERNO;ORO
3005318;PASTO;5;6031;Cali;MODERNO;ORO
3005319;IPIALES;5;6031;Cali;MODERNO;ORO
3005321;PEREIRA;5;6037;Cali;SUP. INDEPENDIENTE;SUPERETE
3005322;PEREIRA;5;6037;Cali;SUP. INDEPENDIENTE;SI GOLD
3005377;CALI;2;6038;Cali;MODERNO;ORO
3005387;JAMUNDÍ;2;6031;Cali;CAD. REGIONALES;ORO
3005391;CALI;5;6031;Cali;CAD. REGIONALES;ORO
3005423;TULUÁ;5;6031;Cali;MAYORISTAS;BRONCE
3005426;TULUÁ;3;6031;Cali;CAD. REGIONALES;ORO
3005428;EL CERRITO;5;6031;Cali;CAD. REGIONALES;ORO
3005430;GUADALAJARA DE BUGA;5;6031;Cali;CAD. REGIONALES;ORO
3005431;CALI;2;6031;Cali;CAD. REGIONALES;ORO
3005455;CALI;2;6031;Cali;MAYORISTAS;ORO
3005467;CALI;5;6031;Cali;MAYORISTAS;BRONCE
3005468;CALI;5;6031;Cali;SUP. INDEPENDIENTE;SI GOLD
3005476;CALI;5;6031;Cali;SUP. INDEPENDIENTE;MINIMERCADO
3005481;BUENAVENTURA;5;6031;Cali;DI MULTIEMPRESA;ORO
3005483;ARMENIA;5;6037;Cali;SUP. INDEPENDIENTE;MINIMERCADO
3005516;CALI;2;6031;Cali;CAD. REGIONALES;ORO
3005529;TULUÁ;5;6031;Cali;MAYORISTAS;PLATA
3005542;CALI;5;6031;Cali;CAD. REGIONALES;ORO
3005552;JAMUNDÍ;2;6031;Cali;CAD. REGIONALES;ORO
3005562;CALI;2;6031;Cali;CAD. REGIONALES;ORO
3005578;NEIRA;5;6037;Cali;SUP. INDEPENDIENTE;SEGMENTO 1
3005586;IPIALES;5;6031;Cali;SUP. INDEPENDIENTE;SEGMENTO 1
3005595;CARTAGO;5;6037;Cali;MAYORISTAS;SEGMENTO 1
3005602;PASTO;5;6031;Cali;SUP. INDEPENDIENTE;SI GOLD
3005619;MANIZALES;5;6037;Cali;SUP. INDEPENDIENTE;SI GOLD
3005622;CANDELARIA;5;6031;Cali;SUP. INDEPENDIENTE;SI GOLD
3005635;IPIALES;5;6031;Cali;MAYORISTAS;SEGMENTO 1
3005640;CHINCHINÁ;5;6037;Cali;SUP. INDEPENDIENTE;SI GOLD
3005661;PASTO;5;6031;Cali;MAYORISTAS;BRONCE
3005698;SALAMINA;5;6037;Cali;SUP. INDEPENDIENTE;SUPERETE
3005703;PASTO;5;6031;Cali;MAYORISTAS;SEGMENTO 1
