Mes,Cliente,CodProducto,compro,compro_mes_ant,veces_comprado,mes_idx,freq_compra,Mes_ant,ventas_cliente_ant,productos_ant,target,Frecuencia de visita,oficina_enc,seg5_enc,seg4_enc,producto_enc,prob_compra,ranking,Oficina de ventas,Denominación Gr#Clientes 4,Denominación Gr#Clientes 5
202605,3001563,M509,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,2,2,9,4,3,0.09510339830916228,3,Bogota,ORO,MODERNO
202605,3001565,M823,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,2,2,9,4,5,0.10510417897466022,1,Bogota,ORO,MODERNO
202605,3001565,M827,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,2,2,9,4,6,0.10510417897466022,2,Bogota,ORO,MODERNO
202605,3001565,M509,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,2,2,9,4,3,0.09510339830916228,3,Bogota,ORO,MODERNO
202605,3001604,M823,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,2,2,9,4,5,0.10510417897466022,1,Bogota,ORO,MODERNO
202605,3001604,M827,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,2,2,9,4,6,0.10510417897466022,2,Bogota,ORO,MODERNO
202605,3001604,M509,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,2,2,9,4,3,0.09510339830916228,3,Bogota,ORO,MODERNO
202605,3001608,M827,0,1,2.0,5,0.4,202604.0,76742.84,3.0,0,5,2,11,3,6,0.45579295650181956,1,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001608,M500,0,1,1.0,5,0.2,202604.0,76742.84,3.0,0,5,2,11,3,2,0.3133001695964301,2,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001608,M511,0,0,0.0,5,0.0,202604.0,76742.84,3.0,0,5,2,11,3,4,0.08148889376662491,3,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001609,M511,0,0,0.0,5,0.0,202604.0,1526779.65,1.0,0,5,2,7,5,4,0.10114237543882248,1,Bogota,PLATA,MAYORISTAS
202605,3001609,M823,0,0,0.0,5,0.0,202604.0,1526779.65,1.0,0,5,2,7,5,5,0.09911688334880606,2,Bogota,PLATA,MAYORISTAS
202605,3001609,M827,0,0,0.0,5,0.0,202604.0,1526779.65,1.0,0,5,2,7,5,6,0.09911688334880606,3,Bogota,PLATA,MAYORISTAS
202605,3001610,M866,0,1,4.0,5,0.8,202604.0,4138138.26,4.0,0,2,2,7,4,7,0.8698469814703773,1,Bogota,ORO,MAYORISTAS
202605,3001610,M511,0,0,0.0,5,0.0,202604.0,4138138.26,4.0,0,2,2,7,4,4,0.09928464079905662,2,Bogota,ORO,MAYORISTAS
202605,3001610,M827,0,0,0.0,5,0.0,202604.0,4138138.26,4.0,0,2,2,7,4,6,0.09729232509559516,3,Bogota,ORO,MAYORISTAS
202605,3001634,M509,0,1,3.0,5,0.6,202604.0,3417914.51,2.0,0,2,2,7,7,3,0.7417054333451342,1,Bogota,SEGMENTO 1,MAYORISTAS
202605,3001634,M898,0,1,2.0,5,0.4,202604.0,3417914.51,2.0,0,2,2,7,7,9,0.5451727418004593,2,Bogota,SEGMENTO 1,MAYORISTAS
202605,3001634,M866,0,0,2.0,5,0.4,202604.0,3417914.51,2.0,0,2,2,7,7,7,0.4233747763788391,3,Bogota,SEGMENTO 1,MAYORISTAS
202605,3001653,M827,0,0,2.0,5,0.4,202604.0,3748483.4299999997,5.0,0,2,2,7,4,6,0.5753716706679983,1,Bogota,ORO,MAYORISTAS
202605,3001653,M899,0,1,2.0,5,0.4,202604.0,3748483.4299999997,5.0,0,2,2,7,4,10,0.49268081408628744,2,Bogota,ORO,MAYORISTAS
202605,3001653,M973,0,0,1.0,5,0.2,202604.0,3748483.4299999997,5.0,0,2,2,7,4,11,0.36152929640876025,3,Bogota,ORO,MAYORISTAS
202605,3001662,M511,0,0,0.0,5,0.0,202604.0,2739287.67,4.0,0,2,2,7,4,4,0.10703831260259848,1,Bogota,ORO,MAYORISTAS
202605,3001662,M500,0,0,0.0,5,0.0,202604.0,2739287.67,4.0,0,2,2,7,4,2,0.07145367097310489,2,Bogota,ORO,MAYORISTAS
202605,3001662,M973,0,0,0.0,5,0.0,202604.0,2739287.67,4.0,0,2,2,7,4,11,0.06956660486772175,3,Bogota,ORO,MAYORISTAS
202605,3001672,M899,0,0,2.0,5,0.4,202604.0,5181539.92,5.0,0,2,2,7,4,10,0.4844226388490617,1,Bogota,ORO,MAYORISTAS
202605,3001672,M511,0,0,0.0,5,0.0,202604.0,5181539.92,5.0,0,2,2,7,4,4,0.11339594681027165,2,Bogota,ORO,MAYORISTAS
202605,3001672,M1111,0,0,0.0,5,0.0,202604.0,5181539.92,5.0,0,2,2,7,4,0,0.07976107675565206,3,Bogota,ORO,MAYORISTAS
202605,3001687,M823,0,1,3.0,5,0.6,202604.0,2768560.3899999997,4.0,0,2,2,7,4,5,0.8688306854336934,1,Bogota,ORO,MAYORISTAS
202605,3001687,M899,0,1,3.0,5,0.6,202604.0,2768560.3899999997,4.0,0,2,2,7,4,10,0.80708502759691,2,Bogota,ORO,MAYORISTAS
202605,3001687,M827,0,0,1.0,5,0.2,202604.0,2768560.3899999997,4.0,0,2,2,7,4,6,0.40614241939726387,3,Bogota,ORO,MAYORISTAS
202605,3001703,M823,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,7,1,5,0.11151727320301483,1,Bogota,BRONCE,MAYORISTAS
202605,3001703,M827,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,7,1,6,0.10146032601302586,2,Bogota,BRONCE,MAYORISTAS
202605,3001703,M866,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,7,1,7,0.07154213613165884,3,Bogota,BRONCE,MAYORISTAS
202605,3001712,M823,0,0,0.0,5,0.0,202604.0,-66623.81,0.0,0,5,2,9,4,5,0.09177922109568715,1,Bogota,ORO,MODERNO
202605,3001712,M827,0,0,0.0,5,0.0,202604.0,-66623.81,0.0,0,5,2,9,4,6,0.09177922109568715,2,Bogota,ORO,MODERNO
202605,3001712,M509,0,0,0.0,5,0.0,202604.0,-66623.81,0.0,0,5,2,9,4,3,0.0829288319099552,3,Bogota,ORO,MODERNO
202605,3001718,M823,0,0,0.0,5,0.0,202604.0,-66623.81,0.0,0,5,2,9,4,5,0.09177922109568715,1,Bogota,ORO,MODERNO
202605,3001718,M827,0,0,0.0,5,0.0,202604.0,-66623.81,0.0,0,5,2,9,4,6,0.09177922109568715,2,Bogota,ORO,MODERNO
202605,3001718,M509,0,0,0.0,5,0.0,202604.0,-66623.81,0.0,0,5,2,9,4,3,0.0829288319099552,3,Bogota,ORO,MODERNO
202605,3001721,M500,0,0,1.0,5,0.2,202604.0,246419.06,2.0,0,5,2,11,9,2,0.37433037262199187,1,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001721,M509,0,1,1.0,5,0.2,202604.0,246419.06,2.0,0,5,2,11,9,3,0.36325721174896103,2,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001721,M898,0,1,1.0,5,0.2,202604.0,246419.06,2.0,0,5,2,11,9,9,0.34357344836699305,3,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001722,M509,0,0,2.0,5,0.4,202604.0,0.0,0.0,0,5,2,11,8,3,0.4932030385015903,1,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001722,M511,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,11,8,4,0.13724194175801402,2,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001722,M1111,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,11,8,0,0.052977773609052016,3,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001747,M509,0,0,1.0,5,0.2,202604.0,59742.86,2.0,0,5,2,11,8,3,0.42910976093094005,1,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001747,M511,0,0,0.0,5,0.0,202604.0,59742.86,2.0,0,5,2,11,8,4,0.1023882178565764,2,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001747,M1111,0,0,0.0,5,0.0,202604.0,59742.86,2.0,0,5,2,11,8,0,0.03745351333657603,3,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001759,M500,0,0,1.0,5,0.2,202604.0,105238.09,1.0,0,5,2,11,9,2,0.3861522553602629,1,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001759,M898,0,1,1.0,5,0.2,202604.0,105238.09,1.0,0,5,2,11,9,9,0.3177943717235942,2,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001759,M866,0,0,1.0,5,0.2,202604.0,105238.09,1.0,0,5,2,11,9,7,0.25094075395249194,3,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001760,M827,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,11,3,6,0.20709328685256903,1,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001760,M511,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,11,3,4,0.10796044419273156,2,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001760,M898,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,11,3,9,0.052588619967334244,3,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001767,M823,0,1,2.0,5,0.4,202604.0,33999.96,2.0,0,5,2,11,8,5,0.46583996979306175,1,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001767,M511,0,0,1.0,5,0.2,202604.0,33999.96,2.0,0,5,2,11,8,4,0.3882528072634907,2,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001767,M973,0,0,1.0,5,0.2,202604.0,33999.96,2.0,0,5,2,11,8,11,0.1560065003214289,3,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001769,M823,0,1,3.0,5,0.6,202604.0,66057.12,3.0,0,5,2,11,8,5,0.6690109672552567,1,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001769,M827,0,1,2.0,5,0.4,202604.0,66057.12,3.0,0,5,2,11,8,6,0.4692555433777856,2,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001769,M511,0,0,1.0,5,0.2,202604.0,66057.12,3.0,0,5,2,11,8,4,0.3882528072634907,3,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001780,M1111,0,1,4.0,5,0.8,202604.0,1659847.68,3.0,0,5,2,1,4,0,0.8050711694474224,1,Bogota,ORO,CAD. REGIONALES
202605,3001780,M866,0,1,3.0,5,0.6,202604.0,1659847.68,3.0,0,5,2,1,4,7,0.7571899777247785,2,Bogota,ORO,CAD. REGIONALES
202605,3001780,M827,0,0,2.0,5,0.4,202604.0,1659847.68,3.0,0,5,2,1,4,6,0.49587253343620297,3,Bogota,ORO,CAD. REGIONALES
202605,3001784,M827,0,1,3.0,5,0.6,202604.0,67028.58,3.0,0,5,2,11,9,6,0.6737465864498369,1,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001784,M500,0,1,2.0,5,0.4,202604.0,67028.58,3.0,0,5,2,11,9,2,0.41405210125736003,2,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001784,M823,0,0,0.0,5,0.0,202604.0,67028.58,3.0,0,5,2,11,9,5,0.17978174097560295,3,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001788,M823,0,1,3.0,5,0.6,202604.0,139238.05,3.0,0,5,2,11,8,5,0.6815873735686488,1,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001788,M827,0,1,3.0,5,0.6,202604.0,139238.05,3.0,0,5,2,11,8,6,0.6775358207410079,2,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001788,M509,0,0,2.0,5,0.4,202604.0,139238.05,3.0,0,5,2,11,8,3,0.4982014867303214,3,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001797,M500,0,0,2.0,5,0.4,202604.0,64276.17999999999,3.0,0,5,2,11,8,2,0.45823531272989226,1,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001797,M1111,0,0,0.0,5,0.0,202604.0,64276.17999999999,3.0,0,5,2,11,8,0,0.03745351333657603,2,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001797,M1114,0,0,0.0,5,0.0,202604.0,64276.17999999999,3.0,0,5,2,11,8,1,0.03745351333657603,3,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001799,M509,0,0,2.0,5,0.4,202604.0,21371.44,1.0,0,5,2,11,3,3,0.43239561848357766,1,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001799,M500,0,1,1.0,5,0.2,202604.0,21371.44,1.0,0,5,2,11,3,2,0.31092686199974146,2,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
