Cliente,CodProducto,prob_compra,compro
3001565,M500,0.09189576529809958,0
3001565,M509,0.09510339830916228,0
3001565,M511,0.08801685966260603,0
3001565,M823,0.10510417897466022,0
3001565,M827,0.10510417897466022,0
3001565,M866,0.05282808238132064,0
3001565,M872,0.034224621447450976,0
3001565,M898,0.08462020530977475,0
3001565,M899,0.03578311082925235,0
3001565,M973,0.03666952451897572,0
3001604,M1111,0.04617484492237264,0
3001604,M1114,0.04366814929053835,0
3001604,M500,0.09189576529809958,0
3001604,M509,0.09510339830916228,0
3001604,M511,0.08801685966260603,0
3001604,M823,0.10510417897466022,0
3001604,M827,0.10510417897466022,0
3001604,M866,0.05282808238132064,0
3001604,M872,0.034224621447450976,0
3001604,M898,0.08462020530977475,0
3001604,M899,0.03578311082925235,0
3001604,M973,0.03666952451897572,0
3001608,M1111,0.03336678676942704,0
3001608,M1114,0.032283981987541774,0
3001608,M500,0.3133001695964301,0
3001608,M509,0.43710389476414235,1
3001608,M511,0.08148889376662491,0
3001608,M823,0.6852689895949542,1
3001608,M827,0.45579295650181956,0
3001608,M866,0.024983920403870253,0
3001608,M872,0.016019965876363597,0
3001608,M898,0.03160584267774884,0
3001608,M899,0.013531021428173263,0
3001608,M973,0.013874141394381012,0
3001609,M1111,0.06515635592766839,0
3001609,M1114,0.05577907096486631,0
3001609,M500,0.06736994456465835,0
3001609,M509,0.06978728979182658,0
3001609,M511,0.10114237543882248,0
3001609,M823,0.09911688334880606,0
3001609,M827,0.09911688334880606,0
3001609,M866,0.07943874603049768,0
3001609,M872,0.06159261201188913,0
3001609,M898,0.610853144766663,1
3001609,M899,0.06935798372685541,0
3001609,M973,0.07364059368178445,0
3001610,M1111,0.06282797089165584,0
3001610,M1114,0.053449340403779605,0
3001610,M500,0.06608691811282268,0
3001610,M509,0.06846160567324872,0
3001610,M511,0.09928464079905662,0
3001610,M823,0.3909788500725244,1
3001610,M827,0.09729232509559516,0
3001610,M866,0.8698469814703773,0
3001610,M872,0.050804087031513886,0
3001610,M898,0.9060976054460019,1
3001610,M899,0.4884150175982353,1
3001610,M973,0.06433176639561887,0
3001634,M1111,0.03358043282055378,0
3001634,M1114,0.030869230056295178,0
3001634,M500,0.03792080040417935,0
3001634,M509,0.7417054333451342,0
3001634,M511,0.06255845706671097,0
3001634,M823,0.28224370918709635,0
3001634,M827,0.28224370918709635,0
3001634,M866,0.4233747763788391,0
3001634,M872,0.3451877940042125,0
3001634,M898,0.5451727418004593,0
3001634,M899,0.03781481534610324,0
3001634,M973,0.3806187409131527,0
3001653,M1111,0.08317532276402999,0
3001653,M1114,0.06975816539222192,0
3001653,M500,0.07313326550801848,0
3001653,M509,0.8410312674296374,1
3001653,M511,0.11806524379437501,0
3001653,M823,0.878865704427988,1
3001653,M827,0.5753716706679983,0
3001653,M866,0.8708036241789062,1
3001653,M872,0.05894431802639279,0
3001653,M898,0.906816344592337,1
3001653,M899,0.49268081408628744,0
3001653,M973,0.36152929640876025,0
3001662,M1111,0.06794932820393844,0
3001662,M1114,0.05785340169162217,0
3001662,M500,0.07145367097310489,0
3001662,M509,0.8318308134879162,1
3001662,M511,0.10703831260259848,0
3001662,M823,0.8727924827602096,1
3001662,M827,0.10490852827132643,1
3001662,M866,0.8588843423612008,1
3001662,M872,0.05500285299700782,0
3001662,M898,0.8995449875176765,1
3001662,M899,0.0655041667086216,0
3001662,M973,0.06956660486772175,0
3001672,M1111,0.07976107675565206,0
3001672,M1114,0.06685451633188194,0
3001672,M500,0.07009971616898661,0
3001672,M509,0.843721425964413,1
3001672,M511,0.11339594681027165,0
3001672,M823,0.8810061942379217,1
3001672,M827,0.8771080999738011,1
3001672,M866,0.8730659986464818,1
3001672,M872,0.05982618689783745,0
3001672,M898,0.8987647797141638,1
3001672,M899,0.4844226388490617,0
3001672,M973,0.07220750897776095,0
3001685,M1111,0.9512507884776767,1
3001685,M1114,0.9402406487994729,1
3001685,M500,0.9289329690965487,1
3001685,M509,0.9290656511677163,1
3001685,M511,0.9588618342860558,1
3001685,M823,0.9484185233159312,1
3001685,M827,0.9484185233159312,1
3001685,M866,0.943954745589932,1
3001685,M872,0.8918649855758836,1
3001685,M898,0.954174979265298,1
3001685,M899,0.9212009647291688,1
3001685,M973,0.9238543375710296,1
3001687,M1111,0.06794932820393844,0
3001687,M1114,0.05785340169162217,0
3001687,M500,0.07145367097310489,0
3001687,M509,0.07400591957413098,0
3001687,M511,0.10703831260259848,0
3001687,M823,0.8688306854336934,0
3001687,M827,0.40614241939726387,0
3001687,M866,0.8630992196618256,1
3001687,M872,0.05500285299700782,0
3001687,M898,0.8995449875176765,1
3001687,M899,0.80708502759691,0
3001687,M973,0.36691294933199253,0
3001703,M1111,0.03958384494261266,0
3001703,M1114,0.03658172875789313,0
3001703,M500,0.06881914762854732,0
3001703,M509,0.07128451811650618,0
3001703,M511,0.07041656873936665,0
3001703,M823,0.11151727320301483,0
3001703,M827,0.10146032601302586,0
3001703,M866,0.07154213613165884,0
3001703,M872,0.04989618871949723,0
3001703,M898,0.5132010105159098,1
3001703,M899,0.05702228533963218,0
3001703,M973,0.058402964478351485,0
3001712,M1111,0.042721160205736554,0
3001712,M1114,0.04039401477211653,0
3001712,M500,0.08009547528665645,0
3001712,M509,0.0829288319099552,0
3001712,M511,0.0766726036672218,0
3001712,M823,0.09177922109568715,0
3001712,M827,0.09177922109568715,0
3001712,M866,0.045791487304353985,0
3001712,M872,0.02958856209849581,0
3001712,M898,0.07367836660554491,0
3001712,M899,0.030942702753405313,0
3001712,M973,0.03171315431321703,0
3001718,M1111,0.042721160205736554,0
3001718,M1114,0.04039401477211653,0
3001718,M500,0.08009547528665645,0
3001718,M509,0.0829288319099552,0
3001718,M511,0.0766726036672218,0
3001718,M823,0.09177922109568715,0
3001718,M827,0.09177922109568715,0
3001718,M866,0.045791487304353985,0
3001718,M872,0.02958856209849581,0
3001718,M898,0.07367836660554491,0
3001718,M899,0.030942702753405313,0
3001718,M973,0.03171315431321703,0
3001721,M1111,0.03050840520889718,0
3001721,M1114,0.02919219409268056,0
3001721,M500,0.37433037262199187,0
3001721,M509,0.36325721174896103,0
3001721,M511,0.08672614556264278,0
3001721,M823,0.18779365064148779,0
3001721,M827,0.18690627287595635,0
3001721,M866,0.027183101660229945,0
3001721,M872,0.017600840322671292,0
3001721,M898,0.34357344836699305,0
3001721,M899,0.019121041874219865,0
3001721,M973,0.019603096821996735,0
3001722,M1111,0.052977773609052016,0
3001722,M1114,0.052977773609052016,0
3001722,M500,0.42148525213289983,1
3001722,M509,0.4932030385015903,0
3001722,M511,0.13724194175801402,0
3001722,M823,0.44588959174487885,1
3001722,M827,0.26040714437334084,1
3001722,M866,0.030809256290328595,0
3001722,M872,0.019974992831477363,0
3001722,M898,0.045493720857535745,0
3001722,M899,0.019267406697932508,0
3001722,M973,0.01975307729717866,0
3001747,M1111,0.03745351333657603,0
3001747,M1114,0.03745351333657603,0
3001747,M500,0.4140593066342124,1
3001747,M509,0.42910976093094005,0
3001747,M511,0.1023882178565764,0
3001747,M823,0.6690109672552567,1
3001747,M827,0.5003152908953241,1
3001747,M866,0.018655945628411646,0
3001747,M872,0.012042365670890162,0
3001747,M898,0.02726034366438596,0
3001747,M899,0.011836856150050692,0
3001747,M973,0.012137544022012121,0
3001759,M1111,0.2432194075065151,1
3001759,M1114,0.2355961981088212,1
3001759,M500,0.3861522553602629,0
3001759,M509,0.11583883040128146,0
3001759,M511,0.0844014902133611,0
3001759,M823,0.18330366488825475,0
3001759,M827,0.1824327380612609,0
3001759,M866,0.25094075395249194,0
3001759,M872,0.015322621820248437,0
3001759,M898,0.3177943717235942,0
3001759,M899,0.015281953310002242,0
3001759,M973,0.19320775742538943,0
3001760,M1111,0.04629758988777154,1
3001760,M1114,0.04481461464152705,0
3001760,M500,0.3408765269183297,1
3001760,M509,0.37777823001441424,1
3001760,M511,0.10796044419273156,0
3001760,M823,0.4642906312191099,1
3001760,M827,0.20709328685256903,0
3001760,M866,0.04108696093529498,0
3001760,M872,0.026502457416502218,0
3001760,M898,0.052588619967334244,0
3001760,M899,0.022001400161420524,0
3001760,M973,0.02255440123816137,0
3001767,M1111,0.03745351333657603,1
3001767,M1114,0.03745351333657603,0
3001767,M500,0.13507264557969334,1
3001767,M509,0.42910976093094005,1
3001767,M511,0.3882528072634907,0
3001767,M823,0.46583996979306175,0
3001767,M827,0.6817274452773524,1
3001767,M866,0.018655945628411646,0
3001767,M872,0.012042365670890162,0
3001767,M898,0.02726034366438596,0
3001767,M899,0.011836856150050692,0
3001767,M973,0.1560065003214289,0
3001769,M1111,0.03745351333657603,0
3001769,M1114,0.03745351333657603,0
3001769,M500,0.3633077525037926,0
3001769,M509,0.42910976093094005,1
3001769,M511,0.3882528072634907,0
3001769,M823,0.6690109672552567,0
3001769,M827,0.4692555433777856,0
3001769,M866,0.018655945628411646,0
3001769,M872,0.012042365670890162,0
3001769,M898,0.02726034366438596,0
3001769,M899,0.011836856150050692,0
3001769,M973,0.012137544022012121,0
3001780,M1111,0.8050711694474224,0
3001780,M1114,0.7660876259308458,1
3001780,M500,0.2871933444399306,0
3001780,M509,0.29608509754889956,1
3001780,M511,0.7938046250391098,1
3001780,M823,0.3772636332018476,0
3001780,M827,0.49587253343620297,0
3001780,M866,0.7571899777247785,0
3001780,M872,0.05564964817685392,0
3001780,M898,0.13731752567524147,0
3001780,M899,0.0532597658201509,0
3001780,M973,0.05598516590679847,0
3001784,M1111,0.02344074977348677,0
3001784,M1114,0.02344074977348677,0
3001784,M500,0.41405210125736003,0
3001784,M509,0.3694004347751754,1
3001784,M511,0.08258767067701515,0
3001784,M823,0.17978174097560295,0
3001784,M827,0.6737465864498369,0
3001784,M866,0.01964312751583117,0
3001784,M872,0.012684112379008352,0
3001784,M898,0.028689517693466473,0
3001784,M899,0.012467789310057537,0
3001784,M973,0.012784297221970638,0
3001788,M1111,0.04609908209828394,0
3001788,M1114,0.044140873478905725,0
3001788,M500,0.13833989536631175,1
3001788,M509,0.4982014867303214,0
3001788,M511,0.10496081025560916,0
3001788,M823,0.6815873735686488,0
3001788,M827,0.6775358207410079,0
3001788,M866,0.02378061844227663,0
3001788,M872,0.015378798941488742,0
3001788,M898,0.4266966277568361,0
3001788,M899,0.015337983651350579,0
3001788,M973,0.015726194135128182,0
3001797,M1111,0.03745351333657603,0
3001797,M1114,0.03745351333657603,0
3001797,M500,0.45823531272989226,0
3001797,M509,0.6502898058914637,1
3001797,M511,0.651199745011047,1
3001797,M823,0.4716185533180246,1
3001797,M827,0.4692555433777856,1
3001797,M866,0.018655945628411646,0
3001797,M872,0.012042365670890162,0
3001797,M898,0.02726034366438596,0
3001797,M899,0.011836856150050692,0
3001797,M973,0.012137544022012121,0
3001799,M1111,0.03336678676942704,0
3001799,M1114,0.032283981987541774,0
3001799,M500,0.31092686199974146,0
3001799,M509,0.43239561848357766,0
3001799,M511,0.08148889376662491,0
3001799,M823,0.16148103791318522,0
3001799,M827,0.16069339530723437,0
3001799,M866,0.024983920403870253,0
3001799,M872,0.016019965876363597,0
3001799,M898,0.03160584267774884,0
3001799,M899,0.013531021428173263,0
3001799,M973,0.013874141394381012,0
3001810,M1111,0.03745351333657603,0
3001810,M1114,0.03745351333657603,0
3001810,M500,0.13507264557969334,0
3001810,M509,0.45037129608423476,0
3001810,M511,0.1023882178565764,0
3001810,M823,0.6716970255565027,0
3001810,M827,0.6675810029522377,0
3001810,M866,0.018655945628411646,0
3001810,M872,0.012042365670890162,0
3001810,M898,0.02726034366438596,0
3001810,M899,0.011836856150050692,0
3001810,M973,0.012137544022012121,0
3001818,M1111,0.05225364926237564,0
3001818,M1114,0.04774245945392815,0
3001818,M500,0.3898068176190074,0
3001818,M509,0.68122877256772,0
